img,imgTransferSize,imgActualSize
https://www.duckduckgo.com/,164,0.0
logo_homepage.normal.v108.svg,3574,4758.0
dax-icon.svg,3882,6462.0
pageTransferSize,387332,
totalByteWeight,1204934,
