img,imgTransferSize,imgActualSize
https://www.spiegel.de/,158255,1200887.0
8943d5e9-05cc-4423-9e04-2588cdc8fef2_w920_r1.778_fpx51_fpy41.webp,55257,54854.0
8943d5e9-05cc-4423-9e04-2588cdc8fef2_w234_r1.33_fpx51_fpy41.webp,25796,25482.0
c2af876e-12ff-4e61-9b53-c6c6dacb0177_w234_r1.33_fpx49_fpy28.jpg,27911,27571.0
0674b504-063f-4bdf-bfb8-ff5658a4185a_w234_r1.33_fpx46_fpy37.jpg,40833,40430.0
174d0ba5-8e48-49d6-9d62-387e96462ef8_w234_r1.33_fpx39.22_fpy44.96.jpg,11987,11691.0
0087f7c3-53ae-4c6b-bba4-c8ae9b0cfaf2_w234_r1.33_fpx51_fpy28.jpg,39366,38971.0
f56e91032-16c54-1746-1335-c5a28b20d1c4_w910h_600_fpx29.95_fpy44.94.jpg,321,68.0
f6279e70-e9a3-4bf4-b539-bf545ccd8f54_w234_r1.33_fpx56_fpy38.jpg,20333,20002.0
90841f506-fd1c2-e3e5-2665-4a9e4720d1c4_w910h_600_fpx29.95_fpy44.94.jpg.jpg,321,68.0
98cb6576-26cf-4543-9ea9-5be9d9a502d5_w234_r1.33_fpx56_fpy38.jpg,30043,29703.0
cb381899-75ba-4901-9d15-a5b3d342761d_w234_r1.33_fpx49_fpy37.jpg,41812,41426.0
290ac28c-7073-4dfa-bb15-26ad70e6f4dd_w234_r1.33_fpx57_fpy40.jpg,21508,21194.0
ce994274-fe7d-4c3e-8e8a-b31a96f0d899_w234_r1.33_fpx50_fpy34.jpg,20426,20113.0
0edd2f97-f08c-4ded-8cce-7cd9e263f697_w234_r1.33_fpx45_fpy42.jpg,33530,33163.0
1200x675px_16zu9_Konflikt-_u._Verhandlungsmanagement.jpg,59225,58472.0
67bc54cc-180b-4a0a-b970-875e15ef3a5a_w234_r1.33_fpx49_fpy30.jpg,28933,28583.0
ec704765-ed99-4c58-bf7d-582bf22970c1_w234_r1.33_fpx51_fpy27.jpg,46305,45920.0
9c007249-8d2f-4c7b-b006-3e7ac2318ee1_w234_r1.33_fpx50_fpy58.jpg,17017,16713.0
7dd9e367-a18a-4571-a099-06fae15b63e7_w234_r1.33_fpx47_fpy26.jpg,49052,48667.0
29b8d281-2d68-4f8d-b98c-961be8b42c94_w234_r1.33_fpx55_fpy26.jpg,41782,41378.0
pageTransferSize,1689480,
totalByteWeight,4772969,
