,Website,Total Img Count,Optimized Img Count,Actual Bytes,Transferred Bytes,q-75,q-70,q-50,q-30,q-10
108,jstor.org,27.0,26.0,4247855.0,2515244.0,1645233.0,1552779.0,1316283.0,1187567.0,1029679.0
109,bhaskar.com,32.0,22.0,5203279.0,2799107.0,1885911.0,1844131.0,1708262.0,1570914.0,1420202.0
110,savefrom.net,32.0,11.0,1015954.0,461154.0,377023.0,374947.0,367689.0,358823.0,349711.0
111,pixabay.com,14.0,13.0,2470791.0,1101671.0,929096.0,907300.0,846134.0,780286.0,705956.0
112,dailymail.co.uk,106.0,100.0,10030128.0,3544248.0,3169385.0,3158029.0,3108285.0,3030615.0,2953421.0
113,hubspot.com,27.0,11.0,5028615.0,1601196.0,1344432.0,1342956.0,1337600.0,1331780.0,1326562.0
114,worldometers.info,34.0,23.0,3178411.0,1015772.0,1010893.0,1010847.0,1010623.0,1010449.0,1010205.0
115,rasadvarzeshi.com,51.0,50.0,2534357.0,2016573.0,1270649.0,1227871.0,1089481.0,955209.0,821448.0
116,google.com.sg,20.0,8.0,1797880.0,754444.0,754287.0,754289.0,754223.0,752353.0,745849.0
117,azure.com,30.0,14.0,2396758.0,920247.0,872108.0,864764.0,833790.0,799420.0,771236.0
118,kapanlagi.com,58.0,53.0,3785138.0,1858174.0,1544902.0,1538608.0,1516324.0,1492460.0,1465711.0
119,statcounter.com,39.0,7.0,1241585.0,465918.0,449684.0,449436.0,448548.0,447564.0,446380.0
120,eastmoney.com,37.0,36.0,712544.0,440333.0,161952.0,160900.0,156390.0,151124.0,145862.0
121,google.az,20.0,3.0,2005768.0,1025176.0,1025019.0,1025021.0,1024955.0,1023085.0,1016581.0
122,google.be,20.0,4.0,1621135.0,584967.0,583245.0,583129.0,582617.0,580221.0,573283.0
123,breitbart.com,85.0,80.0,4374832.0,2122221.0,1642153.0,1629645.0,1585873.0,1542381.0,1499507.0
124,patria.org.ve,21.0,21.0,3003750.0,2862919.0,747298.0,721534.0,641630.0,563302.0,483018.0
125,okezone.com,174.0,147.0,15338257.0,10287965.0,7341579.0,6927797.0,5514427.0,4423757.0,3721719.0
126,onlinemektep.org,23.0,13.0,8968763.0,4946900.0,4553958.0,4541942.0,4500314.0,4457948.0,4417574.0
127,nikkei.com,97.0,14.0,3577382.0,1926784.0,1277761.0,1271385.0,1252811.0,1232973.0,1213177.0
128,nairaland.com,11.0,8.0,1065296.0,465539.0,455376.0,455368.0,455334.0,455294.0,455246.0
