img,imgTransferSize,imgActualSize
https://www.getadblock.com/,217,0.0
core_logo_full.svg,4688,12079.0
laptop.svg,5923,17407.0
logo.svg,1577,3050.0
logo_shadow.svg,525,617.0
chrome_logo.svg,1596,3379.0
firefox_logo.svg,1507,3288.0
edge_logo.svg,1782,6486.0
safari_logo.svg,1196,2517.0
apple_logo.svg,1119,2057.0
android_logo.svg,1284,3333.0
speed_icon.svg,636,1030.0
rocket_illustration.svg,136220,188119.0
privacy_icon.svg,2133,4732.0
privacy_illustration.svg,9930,29533.0
distraction_icon.svg,786,1717.0
distraction_illustration.svg,3922,15814.0
browse_icon.svg,583,1230.0
safety_illustration.svg?v=31c2acdd,8550,19646.0
wired_logo.svg,1452,4280.0
cnet_logo.svg,1612,3979.0
engadget_logo.svg,2172,5477.0
techcrunch_logo.svg,2252,5909.0
bloomberg_logo.svg,2284,7196.0
wsj_logo.svg,5713,19796.0
business_insider_logo.svg,8076,19579.0
theguardian_logo.svg,3777,10719.0
adweek_logo.svg,1518,3780.0
stars.svg,935,2173.0
map.svg,20839,59782.0
facebook.svg,452,565.0
twitter.svg,750,1339.0
linkedin.svg,592,947.0
cookie.svg,24333,64224.0
twitter-sprite.png,281,281.0
pageTransferSize,667706,
totalByteWeight,1121781,
