img,imgTransferSize,imgActualSize
https://www.ups.com/,1539,0.0
ups-logo.svg,1423,1964.0
?pid=27&fr=1,309,0.0
serving?cn=um&dpid=1&euuid=67175018856371527431690847151535766706&redir=true,105,0.0
ibs:dpid=1957&dpuuid=0B415415ECB36B512424459BEDBA6A1F,945,42.0
ibs:dpid=903&dpuuid=ee6faaaa-ae21-487e-912d-78404f208b58,945,42.0
ibs:dpid=411&dpuuid=YmKfFgAAAB7DewQE,945,42.0
?id=286726385262010&ev=PageView&dl=https%3A%2F%2Fwww.ups.com%2Fus%2Fen%2Fglobal.page&rl=&if=false&ts=1650630422890&sw=360&sh=640&v=2.9.57&r=stable&a=tmtealium&ec=0&o=30&fbp=fb.1.1650630422887.16779393,297,44.0
ibs:dpid=771&dpuuid=CAESECgm4ydhHcOLyKqU7M99Qoo&google_cver=1?gdpr=0&gdpr_consent=,945,42.0
ibs:dpid=70027&dpuuid=4794715123396473980,945,42.0
b9pj45k4?redir=https%3A%2F%2Fimage2.pubmatic.com%2FAdServer%2FPug%3Fvcode%3Dbz0yJnR5cGU9MSZqcz0xJmNvZGU9MjE5MSZ0bD0yNTkyMDA%3D%26piggybackCookie%3D%24%7BUSER_ID%7D&_test=YmKfFwAD28i-SQAZ,161,85.0
UH6TUt9n?redir=https%3A%2F%2Fib.adnxs.com%2Fsetuid%3Fentity%3D158%26code%3D%24%7BTM_USER_ID%7D&_test=YmKfFwAKVgEWigA-,149,85.0
btu4jd3a?redir=https%3A%2F%2Fpixel.rubiconproject.com%2Ftap.php%3Fv%3D7941%26nid%3D2243%26put%3D%24%7BUSER_ID%7D%26expires%3D90&_test=YmKfFwAKVfMWqgA-,149,85.0
pixel?google_nid=g8f47s39e399f3fe&google_push&google_sc&google_hm=WW1LZkZ3QUQyOW0tVUFBWg==&_test=YmKfFwAD29m-UAAZ,188,170.0
?id=286726385262010&ev=Microdata&dl=https%3A%2F%2Fwww.ups.com%2Fus%2Fen%2Fglobal.page&rl=&if=false&ts=1650630424398&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22Select%20Your%20Location%20%7C%20U,147,44.0
b.php?p=1531105787105294&e=YmKfGAAD3AzMeAAZ&t=2592000&o=0&_test=YmKfGAAD3AzMeAAZ,590,43.0
sd?cc=1&id=537148856&val=YmKfFwAD2vi-YQAZ&_test=YmKfFwAD2vi-YQAZ,61,43.0
src=6451349;type=sitev;cat=upsal0;ord=742928034419;gtm=2od4k0;auiddc=*;gdid=dYmQxMT;~oref=https%3A%2F%2Fwww.ups.com%2Fus%2Fen%2Fglobal.page,494,42.0
?value=0&guid=ON&script=0&data=aam=9625687;aam=21993069&is_vtc=1&random=375347915&ipr=y,548,42.0
?random=1650630424471&cv=9&fst=1650628800000&num=1&bg=ffffff&guid=ON&eid=376635470&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=e,548,42.0
?random=1650630424471&cv=9&fst=1650628800000&num=1&bg=ffffff&guid=ON&eid=376635470&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=e,548,42.0
rum?cm_dsp_id=88&external_user_id=YmKfFwAD3GG-PwAZ&_test=YmKfFwAD3GG-PwAZ&C=1,1002,43.0
partner?adv_id=6409&uid=YmKfGAAKVI4hhwA-&img=1&_test=YmKfGAAKVI4hhwA-&__user_check__=1&sync_id=867fcb74-c237-11ec-bc32-125b01370406,548,43.0
validateCookie?vendor=liveramp&user_id=Xc1297XSYsLAVFjCVxiuL5LBI8Xb15Wyv1Baud3DOJhJh7X44&verifyHash=d2b0e7a19a5b2fcfaa12a771e6d244840a150c83,409,26.0
?random=1650630427350&cv=9&fst=1650628800000&num=1&guid=ON&u_h=1080&u_w=1920&u_ah=1053&u_aw=1844&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=5&u_nmime=2&sendb=1&frm=2&url=https%3A%2F%2F6451349.fls.d,548,42.0
?random=1650630427350&cv=9&fst=1650628800000&num=1&guid=ON&u_h=1080&u_w=1920&u_ah=1053&u_aw=1844&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=5&u_nmime=2&sendb=1&frm=2&url=https%3A%2F%2F6451349.fls.d,548,42.0
validateCookie?vendor=choca&user_id=AAJbTk7ExT4AADoa8AfsnQ&verifyHash=c96ba6febe4628270e15412a47fbdfb9e7c1e3f0,409,26.0
ibs:dpid=152416&dpuuid=,963,42.0
pageTransferSize,2383813,
totalByteWeight,5863285,
