img,imgTransferSize,imgActualSize
https://www.atlassian.net/,383,0.0
google-logo.e086107b.svg,1135,750.0
microsoft-logo.42b61fa1.svg,732,343.0
apple-logo.4f2453fb.svg,1330,943.0
c.gif?v=1.0.21&p=Linux%20x86_64&ua=Mozilla%2F5.0%20(Linux%3B%20Android%207.0%3B%20Moto%20G%20(4))%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F98.0.4695.0%20Mobile%20Safari%2F537.36%2,103,27.0
pageTransferSize,644134,
totalByteWeight,2176346,
