img,imgTransferSize,imgActualSize
https://www.fast.com/,132,0.0
new-logo-vert-37861c.svg,1076,1590.0
poweredby-865a3b.svg,1990,3952.0
pageTransferSize,25153551,
totalByteWeight,24803925,
